rank,score,sector,business_name,city,location_detail,address,email,phone,website,instagram,type_style,size,fit_flag,notes,pipeline_stage,next_action,source_file
62,6,Ristorante,Rosa Restaurant,Lille,Wazemmes,"73 blvd de la Liberté, 59000 Lille",contact@rosa-lille.fr,+33 3 20 57 39 29,rosa-lille.fr,@rosa_lille,Brunch / Café / Coloré,Indipendente,✅ Sì,"Brunch e caffè con interior colorato e floreale, uno dei più fotografati di Lille",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
63,6,Ristorante,Le Baromètre,Lille,Centre,"38 rue de la Halle, 59000 Lille",lebarometre.lille@gmail.com,+33 3 20 52 09 09,,@lebarometre_lille,Wine Bar / Bistro,Indipendente,✅ Sì,"Bar à vins con selezione di vins nature e piccola cucina, atmosfera intima",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
64,6,Ristorante,Café Germaine,Lille,Wazemmes,"5 place Nouvelle Aventure, 59000 Lille",cafegermaine@gmail.com,+33 3 20 35 54 58,,@cafegermaine_lille,Café / Brunch / Marché,Indipendente,✅ Sì,"Caffè e brunch nella zona del mercato di Wazemmes, terrasse animata fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
65,6,Ristorante,Chez la Vieille,Lille,Vieux-Lille,"60 rue de Gand, 59000 Lille",chezvielle.lille@gmail.com,+33 3 20 06 23 35,,@chezlavieille_lille,Estaminet / Cuisine Ch'ti,Indipendente,✅ Sì,"Estaminet tradizionale nel Vieux-Lille, cucina ch'ti e décor authentique fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
66,6,Ristorante,Ch'ti Folk,Lille,Vieux-Lille,"2 rue du Sec Arembault, 59000 Lille",chtifolk@gmail.com,+33 3 20 57 14 72,,@chtifolk_lille,Estaminet / Craft Beer,Indipendente,✅ Sì,"Estaminet con birre artigianali ch'ti, déco brasse et guinguette fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
67,6,Ristorante,Comptoir Volant,Lille,Centre,"1 place du Théâtre, 59000 Lille",comptoirvolant@gmail.com,+33 3 20 74 50 22,,@comptoirvolant_lille,Bar à Vins / Tapas,Indipendente,✅ Sì,"Wine bar en plein centre, tapas créatives e vini selezionati",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
68,6,Ristorante,La Biocive,Lille,Wazemmes,"60 rue Inkermann, 59000 Lille",contact@labiocive.fr,+33 3 20 57 50 33,labiocive.fr,@labiocive,Épicerie Bio / Café / Brunch,Indipendente,✅ Sì,"Épicerie bio e caffè a Wazemmes, prodotti locaux e piatti colorati",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
69,6,Ristorante,Mezebelle,Lille,Centre,"25 place du Général de Gaulle, 59000 Lille",mezebelle@gmail.com,+33 3 20 52 40 71,,@mezebelle_lille,Café / Brunch / Coloré,Indipendente,✅ Sì,Café brunch con piatti colorati e pastries fotogeniche nel centro di Lille,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
70,6,Ristorante,Chez Baptiste,Lille,Vieux-Lille,"4 rue des Bouchers, 59000 Lille",chezbaptiste.lille@gmail.com,+33 3 20 06 49 48,,@chezbaptiste_lille,Bistro / Cuisine Française,Indipendente,✅ Sì,"Bistrot français tipico nel Vieux-Lille, chalkboard e atmosfera parigina",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
71,6,Ristorante,L'Écume des Mers,Lille,Vieux-Lille,"10 rue de Pas, 59000 Lille",contact@lecumevieux.fr,+33 3 20 54 95 40,lecumevieux.fr,@lecumevieux,Fruits de Mer / Poissonnerie,Indipendente,✅ Sì,"Pescheria-ristorante nel cuore del Vieux-Lille, plateau di ostriche fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
72,6,Ristorante,Les Toquées,Lille,Wazemmes,"48 rue Gambetta, 59000 Lille",lestoquees.lille@gmail.com,+33 3 20 57 66 38,,@lestoquees_lille,Cuisine Créative / Femmes Chefs,Indipendente,✅ Sì,"Ristorante tutto al femminile con cucina créative, presentazioni artistiche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
73,6,Ristorante,Nid Café,Lille,Centre,"27 place des Patiniers, 59000 Lille",nidcafe.lille@gmail.com,+33 3 20 13 51 34,,@nidcafe_lille,Café / Brunch / Cosy,Indipendente,✅ Sì,"Caffè nido accogliente con cuscini e piante, atmosfera hygge fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
74,6,Ristorante,Freya Coffee Shop,Lille,Vieux-Lille,"4 rue Saint-Jacques, 59000 Lille",freyacoffeeshop@gmail.com,+33 3 20 94 10 47,,@freyacoffeeshop_lille,Specialty Coffee / Scandinavian,Indipendente,✅ Sì,"Coffee shop con estetica scandinava, caffè a freddo e kanelbullar da foto",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
75,6,Ristorante,La Terrasse des Remparts,Lille,Vieux-Lille,"10 rue Basse, 59000 Lille",terrasse.remparts@gmail.com,+33 3 20 57 02 03,,@terrasse_remparts_lille,Restaurant / Jardin Terrasse,Indipendente,✅ Sì,"Ristorante con terrasse giardino nel Vieux-Lille, fiori e verde fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
76,6,Ristorante,Le Recrutement Café,Lille,Centre,"6 rue de la Clef, 59000 Lille",lerecrutement.cafe@gmail.com,+33 3 20 14 08 36,,@lerecrutementcafe,Café / Coworking / Brunch,Indipendente,✅ Sì,"Caffè coworking e brunch nel centro, piante e interni moderni fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
77,6,Ristorante,Le Ginkgo Café,Lille,Wazemmes,"36 rue Pierre Mauroy, 59000 Lille",ginkgocafe.lille@gmail.com,+33 3 20 54 71 28,,@ginkgocafe_lille,Café Asiatique / Brunch,Indipendente,✅ Sì,"Caffè con atmosfera asiatica e prodotti del mondo, molto instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
78,6,Ristorante,Mötley Crêpe,Lille,Centre,"8 rue du Nouveau Siècle, 59000 Lille",motleycrepe@gmail.com,+33 3 20 57 33 79,,@motleycrepe_lille,Crêperie Créative,Indipendente,✅ Sì,"Crêperie rock con galettes e crêpes créatives, décor grunge fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
79,6,Ristorante,La Mousse Normande,Lille,Vieux-Lille,"20 place des Patiniers, 59000 Lille",mousstenormande.lille@gmail.com,+33 3 20 12 40 56,,@mousstenormande_lille,Bar / Tapas / Craft Beer,Indipendente,✅ Sì,"Bar à bières artisanales e tapas créatives, atmosfera conviviale e fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
80,6,Ristorante,Les Années Folles,Lille,Vieux-Lille,"3 place Louise de Bettignies, 59000 Lille",lesanneesfolles.lille@gmail.com,+33 3 20 57 89 40,,@lesanneesfolles_lille,Café / Vintage / Brunch,Indipendente,✅ Sì,"Caffè vintage anni '20 con décor d'epoca, brocantes e brunch fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
81,6,Ristorante,Kura Izakaya,Lille,Centre,"14 rue Masséna, 59000 Lille",kura.izakaya@gmail.com,+33 3 20 54 93 47,,@kura_izakaya_lille,Japanese / Izakaya,Indipendente,✅ Sì,"Izakaya giapponese nel centro, yakitori e sake in atmosfera sombre fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
82,6,Ristorante,Pho Banh Mi Viet,Lille,Centre,"22 rue des Stations, 59000 Lille",phobanhmi.lille@gmail.com,+33 3 20 06 52 63,,@phobanhmi_lille,Vietnamese / Street Food,Indipendente,✅ Sì,"Cucina vietnamita autentica, pho e banh mi colorati e fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
83,6,Ristorante,Nona Pizza Lille,Lille,Centre,"5 rue Saint-Jacques, 59000 Lille",nona.lille@gmail.com,+33 3 20 57 24 80,,@nona_lille,Pizzeria Napolitaine / Naturelle,Piccola catena,✅ Sì,"Pizzeria napoletana con impasto a lunga lievitazione, forno a legna fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
84,6,Ristorante,Les Funambules,Lille,Vieux-Lille,"37 rue de la Monnaie, 59000 Lille",lesfunambules.lille@gmail.com,+33 3 20 55 48 29,,@lesfunambules_lille,Café / Brunch / Artistique,Indipendente,✅ Sì,"Caffè con esposizioni d'arte temporanee e brunch créatif, molto instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
85,6,Ristorante,Meert Pâtisserie,Lille,Vieux-Lille,"25 rue Esquermoise, 59000 Lille",meert@meert.fr,+33 3 20 57 07 44,meert.fr,@meertlille,Pâtisserie Historique / Salon de Thé,Indipendente,✅ Sì,"Pasticceria storica dal 1761, gaufres de Lille e interni d'epoca UNESCO",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
86,6,Ristorante,Chez Max,Lille,Euralille,"10 ave du Président Hoover, 59000 Lille",chezmax.lille@gmail.com,+33 3 20 06 77 15,,@chezmax_lille,Bistro / Comptoir,Indipendente,✅ Sì,"Bistrot moderno nel quartiere Euralille, cucina créative e terrasse",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
87,6,Ristorante,La Cantine de Wazemmes,Lille,Wazemmes,"9 place de la Nouvelle Aventure, 59000 Lille",lacantine.wazemmes@gmail.com,+33 3 20 36 60 89,,@lacantine_wazemmes,Café / Marché / Vegan,Indipendente,✅ Sì,"Cantine vegan e bio accanto al mercato di Wazemmes, piatti arcobaleno",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
88,6,Ristorante,Brasserie Sainte-Marie,Lille,Vieux-Lille,"52 rue de la Monnaie, 59000 Lille",brasserieste.marie@gmail.com,+33 3 20 57 33 12,,@brasserieste.marie_lille,Brasserie / Terrasse Fleurie,Indipendente,✅ Sì,"Brasserie con terrasse fiorita nel Vieux-Lille, façade en brique rouge fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lille.xlsx
89,6,Ristorante,Daniel & Denise Saint-Jean,Lyon,,"36 rue Tramassac, 69005 Lyon",saintjean@danieletdenise.fr,+33 4 78 42 24 62,danieletdenise.fr,@danieletdenise,Bouchon Lyonnais,Piccola catena,✅ Sì,"Bouchon iconico nel Vieux-Lyon, quenelles e décor autentico 19° sec très fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
90,6,Ristorante,Café Mokxa,Lyon,,"11 rue de l'Abbaye d'Ainay, 69002 Lyon",contact@cafemokxa.com,+33 4 72 41 80 08,cafemokxa.com,@cafemokxa,Specialty Coffee / Torréfaction,Indipendente,✅ Sì,"Torréfacteur pionnier di Lione, latte art e caffè di qualità in spazio épuré",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
91,6,Ristorante,Prairial,Lyon,,"11 rue Chavanne, 69001 Lyon",contact@prairial-restaurant.com,+33 4 78 27 86 93,prairial-restaurant.com,@prairial_restaurant,Bistronomie / Végétal,Indipendente,✅ Sì,Cucina vegetale gastronomica con presentazioni artistiche e sala luminosa,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
92,6,Ristorante,Les Apothicaires,Lyon,,"23 rue de Sèze, 69006 Lyon",reservation@les-apothicaires.com,+33 4 26 02 25 09,les-apothicaires.com,@lesapothicaires,Bistronomie Créative,Indipendente,✅ Sì,"Ex-farmacia trasformata in bistrot gourmet, décor unico con scaffali di rimedi",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
93,6,Ristorante,Imouto,Lyon,,"156 rue Vendôme, 69006 Lyon",contact@imouto-restaurant.com,+33 4 72 61 05 06,imouto-restaurant.com,@imoutorestaurant,Japanese / Fusion,Indipendente,✅ Sì,"Ristorante giapponese di riferimento a Lione, bento e sushi molto fotografati",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
94,6,Ristorante,Café Comptoir Abel,Lyon,,"25 rue Guynemer, 69002 Lyon",contact@cafecomptoirabel.fr,+33 4 78 37 46 18,cafecomptoirabel.fr,@cafecomptoirabel,Bouchon Lyonnais,Indipendente,✅ Sì,"Uno dei bouchon più antichi di Lione (1928), travi di legno e atmosfera bohémien",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
95,6,Ristorante,L'Ourson qui Boit,Lyon,,"23 rue Royale, 69001 Lyon",loursonquiboit@gmail.com,+33 4 78 27 23 37,,@loursonquiboit,Wine Bar / Bistro Japonais,Indipendente,✅ Sì,"Bar à vins naturels con influenze giapponesi, sala intima molto fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
96,6,Ristorante,Slake Coffee House,Lyon,,"27 rue d'Anvers, 69006 Lyon",hello@slake.fr,+33 4 72 31 13 22,slake.fr,@slakecoffeehouse,Specialty Coffee / Brunch,Indipendente,✅ Sì,"Specialty coffee australiano nel 6e, pancakes e granola bowl fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
97,6,Ristorante,Season,Lyon,,"8 rue du Garet, 69001 Lyon",contact@seasonlyon.fr,+33 4 78 28 09 57,seasonlyon.fr,@seasonlyon,Café / Brunch / Healthy,Indipendente,✅ Sì,"Café brunch nel cuore di Lione, piatti colorati e sani, molto instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
98,6,Ristorante,Le Bouchon des Filles,Lyon,,"20 rue Sergent Blandan, 69001 Lyon",contact@bouchondesfilles.fr,+33 4 78 30 40 44,bouchondesfilles.fr,@bouchondesfilles,Bouchon Lyonnais Moderne,Indipendente,✅ Sì,"Bouchon tutto al femminile, cucina lyonnaise rivisitata con presentazioni moderne",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
99,6,Ristorante,Le Musée,Lyon,,"2 rue des Forces, 69002 Lyon",contact@bouchon-lemusee.fr,+33 4 78 37 71 54,bouchon-lemusee.fr,@bouchonlemusee,Bouchon Lyonnais,Indipendente,✅ Sì,"Bouchon classico nel 2e, interior d'epoca e atmosfera autentica fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
100,6,Ristorante,Balthazar Coffees & Wines,Lyon,,"10 rue du Plat, 69002 Lyon",contact@balthazarlyon.com,+33 4 78 37 45 19,balthazarlyon.com,@balthazarlyon,Coffee & Wine Bar,Indipendente,✅ Sì,"Caffè specialty e wine bar in spazio industriale, arredi curati e foto-friendly",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
101,6,Ristorante,La Meunière,Lyon,,"11 rue Neuve, 69001 Lyon",contact@la-meuniere.fr,+33 4 78 28 62 91,la-meuniere.fr,@lameuniere_lyon,Bouchon Lyonnais,Indipendente,✅ Sì,"Bouchon tipico nel centro, cucina maison e sala con poster d'epoca",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
102,6,Ristorante,Sauf Imprévu,Lyon,,"65 Grande Rue de la Guillotière, 69007 Lyon",contact@saufimprevu.fr,+33 4 78 72 70 98,saufimprevu.fr,@saufimprevu,Bistro / Natural Wine,Indipendente,✅ Sì,"Bar à vins e bistrot nel 7e, planches fotogeniche e cave naturale",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
103,6,Ristorante,Chocho,Lyon,,"36 rue Burdeau, 69004 Lyon",contact@chocho-lyon.fr,+33 4 72 07 02 19,chocho-lyon.fr,@chocho_lyon,Café / Pâtisserie Japonaise,Indipendente,✅ Sì,"Pâtisserie e café con influenze giapponesi, wagashi e matcha fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
104,6,Ristorante,Racine,Lyon,,"3 rue Pierre Corneille, 69006 Lyon",contact@racine-lyon.fr,+33 4 78 89 57 68,racine-lyon.fr,@racinelyon,Bistronomie / Farm-to-table,Indipendente,✅ Sì,"Cucina di stagione farm-to-table nel 6e, presentazioni pulite e fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
105,6,Ristorante,Têtedoie,Lyon,,"Chemin des Quatre-Vents, 69005 Lyon",info@tetedoie.com,+33 4 78 29 40 10,tetedoie.com,@tetedoiechristian,Gastronomique / Panoramique,Indipendente,✅ Sì,"Vista panoramica su Lione dalla collina di Fourvière, terrasse con tramonto iconico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
106,6,Ristorante,Café Artisan Croix-Rousse,Lyon,,"55 blvd de la Croix-Rousse, 69004 Lyon",cafeartisan69@gmail.com,+33 4 78 29 64 90,,@cafeartisanlyon,Café / Specialty Coffee,Indipendente,✅ Sì,"Caffè specialty sul boulevard della Croix-Rousse, terrasse molto fotografata",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
107,6,Ristorante,Les Bonnes Soeurs,Lyon,,"77 rue Mercière, 69002 Lyon",lesbonnessoeurs@gmail.com,+33 4 78 37 74 41,,@lesbonnessoeurs_lyon,Bistro / Wine Bar,Indipendente,✅ Sì,"Wine bar e bistrot sulla celebre rue Mercière, atmosfera conviviale fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
108,6,Ristorante,Substrat,Lyon,,"7 rue Pleney, 69001 Lyon",contact@substrat.fr,+33 4 82 31 09 05,substrat.fr,@substrat_lyon,Café / Torréfaction,Indipendente,✅ Sì,"Caffè e torréfacteur nel 1er, sacchi di chicchi e foto minimaliste",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
109,6,Ristorante,Coudes sur la Table,Lyon,,"29 rue de l'Arbre Sec, 69001 Lyon",coudessurlatable@gmail.com,+33 4 78 39 59 08,,@coudessurlatable,Bistro / Cave à Manger,Indipendente,✅ Sì,Cave à manger nel centro con vini naturali e piatti semplici fotografabili,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
110,6,Ristorante,Takao Takano,Lyon,,"33 rue Malesherbes, 69006 Lyon",info@takao-takano.com,+33 4 82 31 43 39,takao-takano.com,@takao_takano,French-Japanese Gastronomique,Indipendente,✅ Sì,"Fusione franco-giapponese stellata, presentazioni minimaliste perfette per IG",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
111,6,Ristorante,Fond Rose,Lyon,,"25 chemin de Fond Rose, 69300 Caluire-et-Cuire",contact@fondrose.com,+33 4 78 29 34 61,fondrose.com,@fondroselyon,Brasserie / Terrasse / Vue Rhône,Indipendente,✅ Sì,"Brasserie con grande terrasse sul Rodano, vista fiume iconica fotografata",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
112,6,Ristorante,Au 14 Février,Lyon,,"6 rue du Vieux-Lyon, 69005 Lyon",contact@au14fevrier.com,+33 4 78 92 91 39,au14fevrier.com,@au14fevrier,French-Japanese Fusion,Indipendente,✅ Sì,"Cucina franco-giapponese romantica nel Vieux-Lyon, sala con vista sul Saône",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
113,6,Ristorante,L'Épicerie Vieux-Lyon,Lyon,,"7 rue Lainerie, 69005 Lyon",contact@epicerie-vieuxlyon.fr,+33 4 78 29 02 37,,@epicerie_vieuxlyon,Épicerie Fine / Café,Indipendente,✅ Sì,"Épicerie fine nel Vieux-Lyon, prodotti locali e degustazioni instagrammabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
114,6,Ristorante,La Table 101,Lyon,,"101 avenue Jean Jaurès, 69007 Lyon",contact@latable101.fr,+33 4 37 43 06 78,latable101.fr,@latable101lyon,Bistronomie Moderne,Indipendente,✅ Sì,Bistrot moderno nel 7e con cucina creativa di stagione,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
115,6,Ristorante,Le Potager des Halles,Lyon,,"3 rue de la Martinière, 69001 Lyon",potager@les-halles-de-lyon.fr,+33 4 72 00 24 84,,@potagerdeshalles,Végétarien / Bistronomie,Indipendente,✅ Sì,"Bistrot végétarien nel mercato coperto, piatti colorati e creativi",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Lyon.xlsx
